2025-08-22 23:53:56,450 | INFO | backtest.cli | run_id=20250822_235356_0bcfbde4
2025-08-22 23:53:56,468 | INFO | backtest.trace | env.json yazıldı: artifacts/20250822_235356_0bcfbde4/env.json
2025-08-22 23:53:56,469 | INFO | backtest.trace | config.json ve inputs.json yazıldı
❌ Satır 100 | DF002 | DSL hatası: Yasak BinOp
❌ Satır 101 | DF002 | DSL hatası: Yasak BinOp
❌ Satır 102 | DF002 | DSL hatası: Yasak BinOp
❌ Satır 103 | DF002 | DSL hatası: Yasak BinOp
❌ Satır 104 | DF002 | DSL hatası: Yasak BinOp
❌ Satır 105 | DF002 | DSL hatası: Yasak BinOp
❌ Satır 106 | DF002 | DSL hatası: Yasak BinOp
❌ Satır 107 | DF002 | DSL hatası: Yasak BinOp
❌ Satır 108 | DF002 | DSL hatası: Yasak BinOp
❌ Satır 109 | DF002 | DSL hatası: Yasak BinOp
❌ Satır 110 | DF002 | DSL hatası: Yasak BinOp
❌ Satır 111 | DF002 | DSL hatası: Yasak BinOp
❌ Satır 112 | DF002 | DSL hatası: Yasak BinOp
❌ Satır 113 | DF002 | DSL hatası: Yasak BinOp
❌ Satır 114 | DF002 | DSL hatası: Yasak BinOp
❌ Satır 115 | DF002 | DSL hatası: Yasak BinOp
❌ Satır 116 | DF002 | DSL hatası: Yasak BinOp
❌ Satır 117 | DF002 | DSL hatası: Yasak BinOp
❌ Satır 118 | DF002 | DSL hatası: Yasak BinOp
❌ Satır 119 | DF002 | DSL hatası: Yasak BinOp
❌ Satır 120 | DF002 | DSL hatası: Yasak BinOp
❌ Satır 121 | DF002 | DSL hatası: Yasak BinOp
❌ Satır 122 | DF002 | DSL hatası: Yasak BinOp
❌ Satır 123 | DF002 | DSL hatası: Yasak BinOp
❌ Satır 124 | DF002 | DSL hatası: Yasak BinOp
❌ Satır 125 | DF002 | DSL hatası: Yasak BinOp
❌ Satır 126 | DF002 | DSL hatası: Yasak BinOp
❌ Satır 127 | DF002 | DSL hatası: Yasak BinOp
❌ Satır 128 | DF002 | DSL hatası: Yasak BinOp
❌ Satır 129 | DF002 | DSL hatası: Yasak BinOp
❌ Satır 130 | DF002 | DSL hatası: Yasak BinOp
❌ Satır 131 | DF002 | DSL hatası: Yasak BinOp
❌ Satır 132 | DF002 | DSL hatası: Yasak BinOp
❌ Satır 133 | DF002 | DSL hatası: Yasak BinOp
❌ Satır 134 | DF002 | DSL hatası: Yasak BinOp
❌ Satır 135 | DF002 | DSL hatası: Yasak BinOp
❌ Satır 136 | DF002 | DSL hatası: Yasak BinOp
❌ Satır 137 | DF002 | DSL hatası: Yasak BinOp
❌ Satır 138 | DF002 | DSL hatası: Yasak BinOp
❌ Satır 139 | DF002 | DSL hatası: Yasak BinOp
❌ Satır 140 | DF002 | DSL hatası: Yasak BinOp
❌ Satır 141 | DF002 | DSL hatası: Yasak BinOp
❌ Satır 142 | DF002 | DSL hatası: Yasak BinOp
❌ Satır 143 | DF002 | DSL hatası: Yasak BinOp
❌ Satır 144 | DF002 | DSL hatası: Yasak BinOp
❌ Satır 145 | DF002 | DSL hatası: Yasak BinOp
❌ Satır 146 | DF002 | DSL hatası: Yasak BinOp
❌ Satır 147 | DF002 | DSL hatası: Yasak BinOp
❌ Satır 148 | DF002 | DSL hatası: Yasak BinOp
❌ Satır 149 | DF002 | DSL hatası: Yasak BinOp
❌ Satır 150 | DF002 | DSL hatası: Yasak BinOp
❌ Satır 151 | DF002 | DSL hatası: Yasak BinOp
❌ Satır 152 | DF002 | DSL hatası: Yasak BinOp
❌ Satır 153 | DF002 | DSL hatası: Yasak BinOp
❌ Satır 154 | DF002 | DSL hatası: Yasak BinOp
❌ Satır 155 | DF002 | DSL hatası: Yasak BinOp
❌ Satır 156 | DF002 | DSL hatası: Yasak BinOp
❌ Satır 157 | DF002 | DSL hatası: Yasak BinOp
❌ Satır 158 | DF002 | DSL hatası: Yasak BinOp
❌ Satır 159 | DF002 | DSL hatası: Yasak BinOp
❌ Satır 160 | DF002 | DSL hatası: Yasak BinOp
❌ Satır 161 | DF002 | DSL hatası: Yasak BinOp
❌ Satır 162 | DF002 | DSL hatası: Yasak BinOp
❌ Satır 163 | DF002 | DSL hatası: Yasak BinOp
❌ Satır 164 | DF002 | DSL hatası: Yasak BinOp
❌ Satır 165 | DF002 | DSL hatası: Yasak BinOp
❌ Satır 166 | DF002 | DSL hatası: Yasak BinOp
❌ Satır 167 | DF002 | DSL hatası: Yasak BinOp
❌ Satır 168 | DF002 | DSL hatası: Yasak BinOp
❌ Satır 169 | DF002 | DSL hatası: Yasak BinOp
❌ Satır 170 | DF002 | DSL hatası: Yasak BinOp
❌ Satır 171 | DF002 | DSL hatası: Yasak BinOp
❌ Satır 172 | DF002 | DSL hatası: Yasak BinOp
❌ Satır 173 | DF002 | DSL hatası: Yasak BinOp
❌ Satır 174 | DF002 | DSL hatası: Yasak BinOp
❌ Satır 175 | DF002 | DSL hatası: Yasak BinOp
❌ Satır 176 | DF002 | DSL hatası: Yasak BinOp
